Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
480,95.02716256,47.27329712,74.51943168,64.5215211,41.23485165,53.24905976,24.65524446,76.21186795,76.04471375,74.78061011,76.66109486,81.30239813,48.82043283,73.60109183,63.79411191,41.62604796,53.94813804,24.17625268,76.27217781,76.05771105,73.65958276,76.95457204,361.1701813,128.7782159,132.8488637,103.9709556,128.8352184,128.3044934,130.1557596,3168.305781,3083.468942,2716.13503,2049.191859
490,95.03760969,47.59715838,74.20601755,65.55578771,41.66318429,53.46844964,24.69703301,76.22231509,76.06560802,75.36564981,76.90137902,81.43887697,48.78143888,73.62058881,65.00292455,42.40592708,54.06511991,24.23474361,76.27217781,76.13569897,74.38097095,76.89608111,368.4695033,131.4325969,135.6121171,106.1331305,131.3999127,131.0722013,132.8119172,3235.021676,3145.425994,2773.103033,2092.575281
500,95.05850397,48.12996239,74.64479733,65.58712913,42.16464689,53.81320518,24.60300878,76.22231509,76.06560802,75.40743836,77.05808608,81.49736791,49.46383311,73.83505557,64.92493663,42.63989082,54.35757458,24.1567557,76.25268083,76.11620199,74.20549815,77.14954182,375.8720923,134.2468677,138.3591003,108.3046094,134.0396415,133.7213131,135.4462058,3299.974963,3208.239212,2830.745707,2134.650546
510,95.07939824,48.77768491,74.75971584,66.14082741,43.47053907,54.03259507,24.55077309,76.23276222,76.0029252,74.28959465,76.82824906,81.51686489,49.99025151,74.01052837,65.54883993,43.63423669,54.49405342,24.00077988,76.25268083,76.05771105,73.38662507,76.95457204,383.287903,136.9503971,141.0697438,110.4788524,136.6720173,136.2961912,138.1181614,3364.704777,3271.773316,2887.177894,2174.976899
520,95.10029252,49.85374008,74.90597576,65.83786043,44.34809862,54.15796072,24.84329294,76.23276222,76.06560802,75.24028416,77.18345173,81.41938,50.77013063,74.18600117,64.71046988,44.66757653,54.88399298,24.29323455,76.25268083,76.11620199,74.41996491,77.32501462,390.6182998,139.628158,143.7675817,112.6192505,139.2765864,138.9427043,140.7873306,3428.348575,3342.752033,2943.498146,2214.961959
530,95.15252821,49.85374008,74.57166736,67.12285834,45.71667363,54.63852904,24.93731718,76.22231509,76.0865023,75.31341412,77.3401588,81.32189511,50.92610645,73.91304348,66.32871905,45.8373952,55.33242347,24.37122246,76.31117177,76.11620199,74.34197699,77.57847534,397.9129784,142.3376717,146.4511212,114.7615799,141.8648269,141.4632819,143.4177252,3494.224198,3406.029091,3000.69799,2255.898394
540,95.11073966,50.68951107,74.77016298,67.57208525,45.86293356,55.2966987,24.75971584,76.22231509,76.05516089,75.51190974,77.73715002,81.32189511,51.62799766,74.04952232,67.14759212,46.16884383,55.97582375,24.21524664,76.25268083,76.17469292,74.18600117,77.53948138,405.2157301,145.0373892,149.129374,116.9343318,144.5047409,143.9883071,146.0694549,3562.43044,3471.09275,3056.617618,2295.746615
550,95.23610531,51.29544505,74.77016298,67.89594651,47.06435437,56.383201,24.71792729,76.22231509,76.07605516,74.73882156,77.51776013,81.36088906,52.15441607,74.2444921,67.3425619,47.24117762,57.22363034,24.27373757,76.27217781,76.25268083,73.79606161,77.26652369,412.5336971,147.7220523,151.8811176,119.097922,147.3523134,146.4278036,148.7580134,3626.711642,3538.114157,3112.453816,2332.806091
560,95.14208107,51.36857501,74.9164229,68.10488926,49.34183034,56.67572085,24.57166736,76.23276222,76.10739657,75.87755955,77.58044296,81.38038604,52.19341002,74.30298304,67.69350751,50.04874244,57.7890427,24.00077988,76.31117177,76.11620199,74.73191655,77.50048742,419.854107,150.4850055,154.596543,121.2869249,150.378537,148.8235244,151.4087611,3690.965584,3600.471689,3169.269745,2373.361841
570,95.21521103,51.62975345,75.11491851,69.2018387,51.57751776,57.91893021,24.55077309,76.22231509,76.05516089,75.81487672,77.53865441,81.38038604,52.36888282,74.53694677,68.57087151,52.27139793,58.62741275,24.03977384,76.29167479,76.09670501,74.79040749,77.50048742,427.1572766,153.1571552,157.2734119,123.4328365,153.3536138,151.4701177,154.0200136,3757.430634,3663.088615,3227.506844,2412.116791
580,95.24655244,52.6744672,75.06268282,69.9540326,51.62975345,58.19055579,24.63435019,76.22231509,76.03426661,75.62682825,77.72670288,81.39988302,53.09027101,74.59543771,69.89666602,52.36888282,58.84187951,24.13725872,76.33066875,76.11620199,74.53694677,77.5199844,434.42185,155.7916042,159.9818214,125.5763803,156.284925,154.0992279,156.6943714,3823.404409,3725.389222,3284.903837,2449.695644
590,95.24655244,52.95653991,75.3343084,70.17342248,52.13121605,58.24279148,24.56122023,76.22231509,76.04471375,75.65816966,77.70580861,81.32189511,53.40222266,75.0438682,70.36459349,52.81731332,58.78338857,24.19574966,76.31117177,76.13569897,74.49795282,77.75394814,441.7478802,158.5240124,162.7842684,127.7555971,159.4377012,156.6972756,159.3618762,3892.561757,3789.711903,3341.876976,2486.173534
600,95.24655244,53.06101128,75.1671542,70.07939824,52.51776013,58.2218972,24.54032595,76.22231509,76.07605516,75.68951107,77.86251567,81.32189511,53.59719244,75.10235913,70.01364788,53.20725288,59.15383116,24.21524664,76.31117177,76.09670501,74.75141353,77.59797231,449.060539,161.18117,165.4502092,129.8893545,162.6164597,159.2306314,161.9584484,3961.702753,3854.823704,3398.427926,2524.268058
610,95.24655244,54.00125366,75.95068951,70.75846218,52.87296281,58.51441705,24.72837443,76.23276222,76.07605516,76.20142081,77.54910155,81.41938,54.31858062,75.96022616,70.85201794,53.87015013,59.21232209,24.35172548,76.31117177,76.15519594,74.92688633,77.50048742,456.3454312,163.7896587,168.0682059,132.0515323,165.3797587,161.8310451,164.6099937,4029.93166,3919.916817,3454.964007,2561.699236
620,95.22565817,54.59674049,76.34768074,70.99874634,53.32218972,58.99498537,24.95821145,76.22231509,76.09694944,75.79398245,78.04011701,81.53636186,55.13745369,76.44765061,70.94950283,54.1626048,59.66075258,24.54669526,76.31117177,76.17469292,74.5174498,77.59797231,463.6236518,166.4824849,170.7789446,134.2145278,167.9887604,164.4259066,167.2841395,4093.938733,3985.322063,3514.3375,2599.002667
630,95.26744672,55.20267447,76.61930631,71.21813623,54.26243209,59.3083995,24.69703301,76.23276222,76.14918512,76.11784371,78.04011701,81.41938,55.76135699,76.58412946,71.06648469,54.84499903,59.93371027,24.3322285,76.33066875,76.15519594,74.90738935,77.83193605,470.9492262,169.1826214,173.5216344,136.3853385,170.5258978,166.9151708,169.9509865,4159.60897,4051.104303,3570.893377,2635.656902
