,Iteration,BACKPROP_train,RHC_train,SA0.15_train,SA0.35_train,SA0.55_train,SA0.7_train,SA0.95_train,GA_50_20_20_train,GA_50_20_10_train,GA_50_10_20_train,GA_50_10_10_train,BACKPROP_test,RHC_test,SA0.15_test,SA0.35_test,SA0.55_test,SA0.7_test,SA0.95_test,GA_50_20_20_test,GA_50_20_10_test,GA_50_10_20_test,GA_50_10_10_test,BACKPROP_time,RHC_time,SA0.15_time,SA0.35_time,SA0.55_time,SA0.7_time,SA0.95_time,GA_50_20_20_time,GA_50_20_10_time,GA_50_10_20_time,GA_50_10_10_time
31,310,94.58838278309999,36.7321353949,69.56748850810001,49.2895946511,30.1190973673,39.427496865900004,25.146259924800002,76.2223150857,76.1700793982,74.2478061011,77.3401587965,81.5558588419,37.629167479,69.0972899201,48.625463053199994,30.220315851000002,40.0272957692,24.8001559758,76.23318385649999,76.1356989667,73.7180736986,77.4030025346,236.790304508,83.258347634,86.66522523,67.17622907100001,84.462507764,82.592290941,84.939331502,2044.74757813,1991.62011836,1748.99284185,1346.04055228
32,320,94.5570413707,37.2127037192,71.01964061849999,50.4492269118,31.017551191,40.4304220644,25.010447137499998,76.2223150857,76.06560802339999,74.5298788132,77.350605934,81.5753558198,38.272567752,69.77968414899999,49.483330083800006,31.2146617274,40.9046597777,24.741665041900003,76.23318385649999,75.9992201209,73.7180736986,77.2860206668,244.095071407,85.93022997799999,89.40474534399999,69.334300329,87.09069168,85.228828423,87.599511118,2115.33476845,2057.49120138,1801.87888553,1392.7873614
33,330,94.5570413707,37.306727956500005,71.1659005433,51.6088591726,31.0593397409,40.096113664899995,25.125365649799996,76.2223150857,76.1700793982,75.3760969494,76.7342248224,81.497367908,38.272567752,70.22811464219998,50.6531487619,31.0196919477,40.6901930201,24.722168063999998,76.23318385649999,76.0772080328,74.1080132579,76.6036264379,251.40787789,88.561327999,92.13403855899999,71.482414182,89.70457129,87.930037059,90.282104279,2184.63990912,2120.9262101,1858.04360783,1437.45647052
34,340,94.63017133310001,37.7246134559,71.1972419557,45.8211450063,31.3100710405,41.527371500200005,25.0731299624,76.2223150857,76.0865022984,75.33430839949999,77.4028416214,81.497367908,38.6625073114,69.97465392859999,45.1550009748,31.468122441000002,42.1524663677,24.8586469097,76.23318385649999,76.0382140768,74.712419575,77.5004874244,258.74763701,91.223789741,94.80270193700001,73.653002118,92.300886415,90.60895541,92.951537479,2249.21493617,2184.61320783,1914.54096268,1479.54432919
35,350,94.6406184705,38.3618888425,71.656916005,53.4057668199,31.445883827799996,40.8796489762,25.1358127873,76.2223150857,76.1282908483,75.4492269118,76.98495612199999,81.47787093000001,39.2864106064,70.4425813999,52.7393254046,31.643595242700002,41.6455449405,24.9756287775,76.23318385649999,76.0967050107,74.3419769936,77.14954182100001,266.027657183,93.882967598,97.531247575,75.800554011,94.922995607,93.34460706600001,95.61462208299999,2314.00288347,2251.27629184,1970.01144085,1522.32147904
36,360,94.61972419560001,38.6126201421,72.0434600919,55.16088591729999,31.602590890099997,44.0973673214,25.323861261999998,76.2223150857,76.13873798579999,75.13581278730001,77.23568742159999,81.4388769741,39.6373562098,71.1639695847,54.455059465800005,31.8385650224,44.7455644375,25.0146227335,76.23318385649999,76.0772080328,73.9715344122,77.6759602262,273.343037532,96.583760509,100.244722363,77.942247794,97.54593479399999,96.025520178,98.26850525100001,2381.24330984,2316.02197695,2027.67152214,1568.27649708
37,370,94.7555369829,39.6991224405,71.9912244045,55.7668198913,31.853322189700002,44.6197241956,25.125365649799996,76.2223150857,76.10739657330001,74.98955286249999,76.9327204346,81.53636186390001,40.6317020862,71.5344121661,54.7670111133,31.8775589784,45.3694677325,24.917137843600003,76.23318385649999,76.0967050107,74.0300253461,77.03255995319999,280.650268164,99.260634134,102.99080987399999,80.08631487,100.148857795,98.711322099,100.90466238200001,2446.27379677,2377.93975182,2085.02626184,1608.80811052
38,380,94.7241955704,40.252820727099994,72.03301295450001,56.0071040535,33.524864187199995,45.664437944,25.0940242374,76.2223150857,76.10739657330001,75.53280401170001,76.4312578354,81.6143497758,41.060635601499996,71.47592123220001,55.0009748489,33.69077792939999,46.6757652564,24.819652953800002,76.23318385649999,76.0967050107,74.2834860597,76.79859621760001,287.94857816,101.94883925299999,105.67830643299999,82.283867475,102.778374229,101.385438432,103.596509494,2511.0694360999996,2440.01556091,2144.93811043,1647.09962883
39,390,94.7868783953,40.24237358959999,72.22106142919999,57.292101964100006,33.629335562099996,46.427078980400005,25.250731299599998,76.2223150857,76.1700793982,75.4074383619,77.25658169660001,81.5753558198,41.2361084032,71.5734061221,55.995320725300004,33.846753753200005,47.884577890399996,24.819652953800002,76.2526808345,76.1356989667,74.2639890817,77.2275297329,295.259412492,104.58940200299999,108.42916678700001,84.446777581,105.362307239,104.11766690399999,106.266026203,2576.84813131,2505.49702592,2202.11963462,1687.22476686
40,400,94.73464270790001,40.7438361889,72.4717927288,58.002507312999995,35.781445883800004,46.855411617200005,25.1149185123,76.2223150857,76.10739657330001,75.4492269118,76.98495612199999,81.497367908,42.1524663677,71.9243517255,57.262624293200005,35.9134334178,48.3330083837,24.819652953800002,76.23318385649999,76.0967050107,74.08851628000001,77.20803275489999,302.581147272,107.375669576,111.24573433200001,86.61624195899999,107.975652238,106.765877582,108.91974854799999,2641.32486688,2568.9159785,2258.99188203,1725.52636726
